Mission / Project,,,,,,,,,,,,,
 Identifier: TEL2024-880,,,,,,,,,,,,,
 Name: Spring AZMP ,,,,,,,,,,,,,
 Operator: P. Thamer,,,,,,,,,,,,,
 Research centre: BIO,,,,,,,,,,,,,
 Dates: Apr 10 -May 1,,,,,,,,,,,,,
 Platform: CCGS Teleost,,,,,,,,,,,,,
 Equation : DO2 = ((Titrant_volume - Blank_mean) * 559.8) / ((Standard_mean - Blank_mean) * (Bottle_volume-2)) - 0.018,,,,,,,,,,,,,
Sample,Bottle#,O2_Concentration(ml/l),O2_Uncertainty(ml/l),Titrant_volume(ml),Titrant_uncertainty(ml),Analysis_date,Data_file,Standards(ml),Blanks(ml),Bottle_volume(ml),Initial_transmittance(%%),Standard_transmittance0(%%),Comments
503475_1,1,3.772,0.01,1.914,0.002,4/19/2024 12:25,503475_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,142.109,0,0,
503484_1,183,8.024,0.008,4.069,0.002,4/19/2024 12:32,503484_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,142.579,0,0,
503484_2,141,8.032,0.007,3.914,0.013,4/19/2024 12:39,503484_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,137.06,0,0,Titration problem or stopped by hand. Titrant volume and oxygen concentration recalculated on 2024-04-19 12:45:07.
503008_1,138,8.684,0.008,4.278,0.004,4/19/2024 12:47,503008_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,138.598,0,0,
503487_1,5113,6.071,0.008,3.068,0.002,4/19/2024 14:22,503487_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,141.935,0,0,
503494_1,5,7.423,0.008,3.706,0.003,4/19/2024 14:57,503494_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,140.354,0,0,
503494_2,5058,7.437,0.008,3.735,0.006,4/19/2024 15:18,503494_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,141.152,0,0,
503496`_1,5066,5.632,0.009,2.663,0.002,4/19/2024 15:25,503496`_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,132.839,0,0,
503496_1,5090,5.629,0.009,2.79,0.004,4/19/2024 15:31,503496_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,139.196,0,0,
503503_1,5072,7.419,0.008,3.499,0.004,4/19/2024 15:39,503503_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,132.668,0,0,
503506_1,5152,4.766,0.009,2.465,0.003,4/19/2024 17:00,503506_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,145.021,0,0,
503517_1,141,7.425,0.008,3.619,0.002,4/19/2024 17:14,503517_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,137.06,0,0,
503517_2,5045,7.426,0.008,3.552,0.004,4/19/2024 17:22,503517_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,134.563,0,0,
503519_1,5115,4.503,0.009,2.307,0.002,4/20/2024 5:39,503519_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,143.66,0,0,
503519_2,5113,4.487,0.01,2.272,0.004,4/20/2024 6:06,503519_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,141.935,0,0,
503530_1,138,8.753,0.007,4.312,0.003,4/20/2024 6:13,503530_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,138.598,0,0,
503533_1,183,4.394,0.011,2.235,0.005,4/20/2024 6:21,503533_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,142.579,0,0,
503544_1,5090,9.058,0.008,4.482,0.004,4/20/2024 6:29,503544_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,139.196,0,0,
503544_2,5058,9.067,0.007,4.55,0.002,4/20/2024 6:37,503544_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,141.152,0,0,
503546_1,5072,4.369,0.011,2.066,0.004,4/20/2024 6:44,503546_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,132.668,0,0,
503546_2,5066,4.367,0.011,2.068,0.004,4/20/2024 6:50,503546_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,132.839,0,0,
503557_1,5134,8.765,0.008,4.358,0.005,4/20/2024 6:57,503557_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,139.879,0,0,
503560_1,5032,4.525,0.01,2.274,0.004,4/20/2024 7:05,503560_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,140.911,0,0,
503571_1,5188,8.4,0.008,4.14,0.004,4/20/2024 7:12,503571_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,138.618,0,0,
503571_2,5018,8.425,0.008,4.161,0.006,4/20/2024 8:09,503571_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,138.916,0,0,
503573_1,5055,4.612,0.01,2.288,0.004,4/20/2024 8:47,503573_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,139.13,0,0,
503573_2,5156,4.616,0.01,2.223,0.004,4/20/2024 8:54,503573_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,135.136,0,0,
503584_1,131,8.76,0.008,4.264,0.004,4/20/2024 9:00,503584_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,136.956,0,0,
503587_1,114,4.24,0.011,2.13,0.005,4/20/2024 9:08,503587_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,140.84,0,0,
503598_1,5027,9.349,0.008,4.708,0.005,4/20/2024 9:15,503598_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,141.663,0,0,
